product_id,product_name,category,price,cost,margin_pct,launch_date
PRD1001,Tote Classic,Bags,148.0,65.36,55.8,2022-04-17
PRD1002,Crossbody Mini,Bags,259.42,98.96,61.9,2022-05-02
PRD1003,Shoulder Luxe,Bags,87.9,25.48,71.0,2022-03-29
PRD1004,Clutch Evening,Bags,136.77,41.62,69.6,2022-05-11
PRD1005,Backpack Urban,Bags,50.66,22.54,55.5,2022-10-21
PRD1006,Hobo Soft,Bags,45.21,20.28,55.1,2022-06-10
PRD1007,Satchel Premium,Bags,128.67,47.51,63.1,2022-08-24
PRD1008,Bucket Boho,Bags,51.34,18.96,63.1,2022-06-19
PRD1009,Gold Hoop Earrings,Jewellery,25.56,11.39,55.4,2022-09-28
PRD1010,Silver Chain Necklace,Jewellery,91.88,37.99,58.7,2022-02-20
PRD1011,Pearl Bracelet,Jewellery,79.96,35.75,55.3,2022-05-11
PRD1012,Diamond Stud,Jewellery,157.31,62.24,60.4,2022-11-25
PRD1013,Layered Ring Set,Jewellery,28.54,12.6,55.9,2022-11-12
PRD1014,Tennis Bracelet,Jewellery,109.25,37.75,65.4,2022-12-12
PRD1015,Pendant Drop,Jewellery,33.82,13.4,60.4,2022-09-21
PRD1016,Cuff Bangle,Jewellery,23.57,10.24,56.6,2022-02-19
PRD1017,Classic Leather,Watches,330.2,109.95,66.7,2022-02-23
PRD1018,Sport Mesh,Watches,289.08,90.03,68.9,2022-07-10
PRD1019,Rose Gold Slim,Watches,394.01,140.45,64.4,2022-07-21
PRD1020,Chronograph Pro,Watches,412.66,157.49,61.8,2022-10-31
PRD1021,Minimalist White,Watches,210.92,79.51,62.3,2022-09-09
PRD1022,Vintage Bronze,Watches,111.06,37.24,66.5,2022-07-27
PRD1023,Aviator Gold,Sunglasses,120.94,44.96,62.8,2022-10-07
PRD1024,Cat Eye Tort,Sunglasses,76.03,24.92,67.2,2022-02-10
PRD1025,Round Retro,Sunglasses,69.07,21.28,69.2,2022-12-11
PRD1026,Oversized Shield,Sunglasses,148.49,61.07,58.9,2022-05-16
PRD1027,Wayfarer Black,Sunglasses,35.64,14.92,58.1,2022-03-22
PRD1028,Silk Floral Print,Scarves,92.58,38.36,58.6,2022-09-18
PRD1029,Cashmere Plaid,Scarves,113.0,44.15,60.9,2022-01-28
PRD1030,Cotton Stripe,Scarves,106.99,41.29,61.4,2022-02-02
PRD1031,Leather Classic Brown,Belts,24.77,8.25,66.7,2022-08-04
PRD1032,Snake Print,Belts,69.94,26.61,62.0,2022-08-02
PRD1033,Woven Natural,Belts,86.54,31.18,64.0,2022-04-11
